category_id,img,title,sub_title,price,dc,original_price
1,https://img-cf.kurly.com/shop/data/goods/1623996383387l0.jpg,친환경 햇 양파 1kg,단단하고 아삭한 필수 채소,1973,34.0,2990.0
1,https://img-cf.kurly.com/shop/data/goods/1623999845900l0.jpg,친환경 조각 브로콜리 150g,간편하게 즐기는 초록 꽃송이,2490,,
1,https://img-cf.kurly.com/shop/data/goods/1571706870207l0.jpg,친환경 꼭지제거한 마늘 200g,꼭지까지 제거해서 씻기만 하면 되는 마늘 (1봉/200g),5490,,
1,https://img-cf.kurly.com/shop/data/goods/1589269800286l0.jpg,친환경 저민 마늘 50g,편썰기로 요리에 간편하게 이용하는 저민마늘,2490,,
1,https://img-cf.kurly.com/shop/data/goods/1601348240756l0.jpg,친환경 깐 생강 50g,요리의 풍미를 더하는 간편 향신채(1봉/50g),2990,,
1,https://img-cf.kurly.com/shop/data/goods/1555399464657l0.jpg,친환경 아스파라거스 150g,파릇파릇한 색감, 아삭아삭한 식감,4990,,
1,https://img-cf.kurly.com/shop/data/goods/1536914308220l0.jpg,친환경 완두콩 180g (냉동),일년내내 즐기는 국내산 완두콩(1봉/180g),6500,,
1,https://img-cf.kurly.com/shop/data/goods/1599812489869l0.jpg,유기농 표고버섯 150g,풍부한 맛과 향, 건강까지 함께,3790,5.0,3990.0
1,https://img-cf.kurly.com/shop/data/goods/1583195193809l0.jpg,[기획특가] 영암 친환경 꿀고구마 2kg,포실포실 달콤한 꿀고구마를 무농약으로 즐기세요,12900,18.0,15900.0
1,https://img-cf.kurly.com/shop/data/goods/1557726856893l0.jpg,[ardo] 유기농 당근 슬라이스 600g (냉동),필요한 양 만큼, 손질 걱정 없이 사용하는 유기농 당근 슬라이스(1봉/600g),4980,,
1,https://img-cf.kurly.com/shop/data/goods/1557211569900l0.jpg,친환경 화고버섯 200g,표고버섯이 아닙니다. 고품격 '화고'입니다.(1팩/200g내외),8360,7.0,8990.0
1,https://img-cf.kurly.com/shop/data/goods/1585892483659l0.jpg,이유식 재료 친환경 청경채 50g,부드러운 맛의 이유식용 청경채(50g/1팩),1190,,
1,https://img-cf.kurly.com/shop/data/goods/1572230640516l0.jpg,유기농 간편 표고버섯 90g (냉동),요리에 감칠맛을 더해주는 간편 표고버섯(1통/90g),3500,,
1,https://img-cf.kurly.com/shop/data/goods/1557723926836l0.jpg,[ardo] 유기농 콜리플라워 600g (냉동),필요한 만큼 꺼내쓰는 유기농 냉동 콜리플라워(1봉/600g),5900,,
1,https://img-cf.kurly.com/shop/data/goods/1572241219270l0.jpg,친환경 한입 달수 고구마 700g,한입 사이즈로 간편하게 즐기는 달수 고구마 (1봉/700g),4990,,
1,https://img-cf.kurly.com/shop/data/goods/1601348318523l0.jpg,친환경 깐 감자 1개 100g,간편하게 즐기는 포슬포슬 고소한 맛(1개/100g),1400,,
1,https://img-cf.kurly.com/shop/data/goods/1531471950152l0.jpg,친환경 햇 조림용 감자 1kg,휴게소별미 버터구이 통감자를 집에서 (1봉/1kg),3490,,
1,https://img-cf.kurly.com/shop/data/goods/1574751077341l0.jpg,친환경 셀러리 500g,아삭아삭 청량한 식감,3990,,
1,https://img-cf.kurly.com/shop/data/goods/15717119643l0.jpg,친환경 손질한 당근 200g,원하는대로 썰어주기만 하면, 당근 준비 끝!(1봉/200g),2490,,
1,https://img-cf.kurly.com/shop/data/goods/1615448545154l0.jpg,친환경 무 1통,식탁 위의 만능 식재료,2490,,
1,https://img-cf.kurly.com/shop/data/goods/159547811288l0.jpg,친환경 풋호박,푸릇푸릇 둥글게 여문 익숙한 그 맛(1개/400g 내외),2040,15.0,2400.0
1,https://img-cf.kurly.com/shop/data/goods/1589529467425l0.jpg,친환경 유러피안 쌈채소 모둠 200g,식감이 부드러운 유럽종 쌈채소 모음(200g/1팩),4500,,
1,https://img-cf.kurly.com/shop/data/goods/1583297457921l0.jpg,친환경 만가닥버섯 2종 (흰색/갈색),동글동글 귀여운 갓이 매력적인,1300,,
1,https://img-cf.kurly.com/shop/data/goods/1573794789703l0.jpg,유기농 사포나리아 알로에 4입,가시만 제거하고 껍질째 생으로 먹는 알로에,9800,,
1,https://img-cf.kurly.com/shop/data/goods/1557716294853l0.jpg,친환경 새싹보리 150g,내 몸에 선물하는 파릇한 건강(1팩/150g),3290,,
1,https://img-cf.kurly.com/shop/data/goods/1562653412367l0.jpg,친환경 샐러드 양배추,생으로 먹기 좋은 달콤한 양배추(1통),2990,,
1,https://img-cf.kurly.com/shop/data/goods/1538731815944l0.jpg,친환경 노루궁뎅이 버섯 190g,귀여운모양, 야무진 쓰임새(1팩/190g),2990,,
1,https://img-cf.kurly.com/shop/data/goods/1586495319272l0.jpg,친환경 참나물 150g,으뜸나물에 걸맞는 신선한 맛(150g/1봉),2500,,
1,https://img-cf.kurly.com/shop/data/goods/1598336948521l0.jpg,유기농 양파 1.5kg,건강하게 누리는 단골 식재료,3490,,
1,https://img-cf.kurly.com/shop/data/goods/159538418389l0.jpg,친환경 꽃송이 버섯 100g,아름다운 모양, 보들보들한 식감(100g/1팩),7490,,
1,https://img-cf.kurly.com/shop/data/goods/1572230934869l0.jpg,유기농 간편 청양고추 120g (냉동),매운맛이 필요할 때 간편하게 쏙쏙(1통/120g),3500,,
1,https://img-cf.kurly.com/shop/data/goods/1535958650305l0.jpg,친환경 동충하초 120g,깨끗하게 기른 신비의 버섯(1팩/120g),3315,5.0,3490.0
1,https://img-cf.kurly.com/shop/data/goods/1557726502451l0.jpg,[ardo] 유기농 완두콩 600g (냉동),요리의 식감과 색감을 살려주는 유기농 완두콩(1봉/600g),5900,,
1,https://img-cf.kurly.com/shop/data/goods/1585892051758l0.jpg,이유식 재료 친환경 아욱 50g,영양 가득 부드러운 잎 채소(50g/1봉),1190,,
1,https://img-cf.kurly.com/shop/data/goods/1531464326399l0.jpg,친환경 장아찌용 햇 양파 1kg,야무지게 사용 가능한 작은 양파(1망/1kg),2290,,
1,https://img-cf.kurly.com/shop/data/goods/1600318281653l0.jpg,친환경 브라운 양송이 150g,진한 빛깔로 즐기는 맛과 향,3990,,
1,https://img-cf.kurly.com/shop/data/goods/1602482402986l0.jpg,[Kurly's] 국산콩 콩나물 250g (제주콩/무농약),1등급 제주콩을 맑은 물로 길러낸(1봉/250g),1500,,
1,https://img-cf.kurly.com/shop/data/goods/1572227699701l0.jpg,[ardo] 유기농 브로콜리 600g (냉동),필요한만큼 꺼내쓰는 편리한 유기농 브로콜리,7500,,
1,https://img-cf.kurly.com/shop/data/goods/1585891714719l0.jpg,이유식 재료 친환경 근대 50g,초록빛 영양이 듬뿍한 근대(50g/1봉),1190,,
1,https://img-cf.kurly.com/shop/data/goods/1501653435519l0.jpg,친환경 영양부추,이름 그대로 영양 가득 싱싱한 영양부추(1봉/100g),3400,,
1,https://img-cf.kurly.com/shop/data/goods/1557727941671l0.jpg,[ardo] 유기농 채소믹스 600g (냉동),손질이 필요없는 간편한 유기농 채소믹스(1봉/600g),4980,,
1,https://img-cf.kurly.com/shop/data/goods/1605508215818l0.jpg,영암 친환경 꿀고구마 1kg,건강하게 즐기는 진한 달콤함,10137,7.0,10900.0
1,https://img-cf.kurly.com/shop/data/goods/1597040781844l0.jpg,친환경 손질 유러피안 샐러드 6종,유럽종 채소가 전하는 싱그러움,2350,,
1,https://img-cf.kurly.com/shop/data/goods/1592977247786l0.jpg,유기농 애플민트 10g,건강한 초록잎에 깃든 상큼함(10g/1팩),1990,,
1,https://img-cf.kurly.com/shop/data/goods/1600829342493l0.jpg,[Kurly's] 무농약 국산 숙주나물 250g,무농약으로 아삭하게 길러낸 (1봉/250g),2350,,
1,https://img-cf.kurly.com/shop/data/goods/1557727439184l0.jpg,[ardo] 유기농 수프채소믹스 600g (냉동),수프와 스튜에 어울리는 유기농 종합 채소 믹스(1봉/600g),4980,,
